TITLE,title of form goes here,ANSWERS,,,,,,,,,,
DESCRIPTION,Instructions go here,,,,,,,,,,,
TYPE,QUESTION,HELP,OPTION,OPTION,OPTION,OPTION,OPTION,OPTION,OPTION,OPTION,OPTION,OPTION
PAGE,ASSESSMENT OR EXAM NOT ACTIVE,"If, after clicking on ""Continue"", you return to this page, that means that the assessment or exam is NOT ACTIVE at this time.",,,,,,,,,,
PAGE,,,,,,,,,,,,
LIST,PLEASE CHOOSE YOUR USERNAME VERY CAREFULLY,,STUDENT,,,,,,,,,
SECTION,title of section goes here,Instructions and links go here,,,,,,,,,,
CHOICE,question title goes here,,OPTIONS TO QUESTIONS GO HERE,,,,,,,,,
CHOICE,question title goes here,,,,,,,,,,,
CHOICE,question title goes here,,,,,,,,,,,
CHOICE,question title goes here,,,,,,,,,,,
CHOICE,question title goes here,,,,,,,,,,,
CHOICE,question title goes here,,,,,,,,,,,
CHOICE,question title goes here,,,,,,,,,,,
CHOICE,question title goes here,,,,,,,,,,,
CHOICE,question title goes here,,,,,,,,,,,
CHOICE,question title goes here,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
SECTION,ACCEPTANCE DECLARATION,"I hereby admit that the answers I have put in this form are my own answers and have answered these questions unaided by anyone else. I accept ANY sanction that will be imposed if this is found to be false. 

I also understand and accept that the answers I have filled in will be graded according to the norms presented by the professor in the guideline at the beginning of the semester and can be seen by anyone in the coordination for any clarification that might be needed in the future.",,,,,,,,,,
ACCEPTANCE,I accept all the aforementioned in the paragraph above. ,,,,,,,,,,,
